"hpl_id";"AllaLinjer"
"779012";"153"
"779015";"102_153"
"779018";"107_130"
"779020";"130"
"779021";"104"
"779050";"106"
"779051";"107_130"
"779052";"107_130"
"779053";"130"
"779054";"108"
"779056";"130"
"779058";"107_130"
"779059";"130"
"779060";"108"
"779063";"108_130"
"779064";"107_130"
"779075";"102_151_153_186"
"779077";"102_153_186"
"779080";"186"
"779081";"186"
"779084";"102_153"
"779085";"108_137_804_895"
"779087";"108_109_804_848_895"
"779092";"109_137_848"
"779093";"102_149_677_801_809"
"779094";"102_149_770_809"
"779096";"102_149_809"
"779116";"106"
"779117";"106"
"779119";"106_157"
"779123";"106_157"
"779126";"106_157"
"779129";"844"
"779133";"844"
"779135";"844"
"779139";"844"
"779142";"88_116_118_119_190_805_811_886"
"779145";"116_118_119_190_805_811_886"
"779146";"104_105"
"779148";"88_116_118_119_190_751_805_811_886"
"779153";"104_105"
"779154";"168"
"779158";"104_105"
"779160";"103_163"
"779167";"192"
"779168";"100_514_821"
"779169";"103_192"
"779172";"161"
"779173";"163"
"779174";"161"
"779175";"164_167"
"779176";"164_167"
"779177";"164_167"
"779178";"167"
"779179";"167"
"779183";"168"
"779184";"168"
"779186";"168"
"779188";"108_130"
"779189";"108_130"
"779190";"108_130"
"779192";"156"
"779197";"160_161_162"
"779198";"162"
"779201";"104"
"779202";"104"
"779203";"104"
"779204";"104"
"779205";"104_160"
"779208";"161"
"779209";"104"
"779210";"163"
"779211";"157"
"779213";"160"
"779411";"126"
"779414";"82"
"779417";"140"
"779437";"126_128"
"779438";"136"
"779447";"137"
"779452";"161"
"779454";"103"
"779455";"103_162"
"779456";"162"
"779457";"156"
"779458";"147"
"779459";"123"
"779460";"145_148"
"779461";"123"
"779462";"156"
"779463";"103"
"779464";"103"
"779465";"157"
"779466";"164"
"779469";"116"
"779470";"162"
"779471";"140_143"
"779472";"164_165"
"779473";"165"
"779474";"161"
"779475";"117"
"779476";"103_163"
"779477";"163"
"779479";"145"
"779481";"139"
"779482";"190"
"779483";"131"
"779484";"136"
"779485";"136"
"779486";"131_132_133"
"779487";"131_132_133"
"779488";"131"
"779489";"133"
"779490";"133"
"779491";"133"
